epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.518,1.15882,1.13929,1.38081,0.54143,0.42881,0.47802,0.32298,1.18511,1.20934,1.3914,0.000332652,0.000332652,0.000332652
2,667.201,1.18569,1.24247,1.40128,0.42036,0.3648,0.34844,0.22602,1.28144,1.49735,1.47381,0.000633019,0.000633019,0.000633019
3,996.177,1.26097,1.33028,1.43602,0.48082,0.38629,0.39486,0.25478,1.30569,1.37009,1.47466,0.000900386,0.000900386,0.000900386
4,1324.05,1.25821,1.31337,1.44112,0.49136,0.40574,0.41796,0.27876,1.27359,1.37703,1.47658,0.0008515,0.0008515,0.0008515
5,1651.7,1.23511,1.30691,1.42984,0.50623,0.408,0.44412,0.28766,1.28818,1.30453,1.48936,0.000802,0.000802,0.000802
6,1978.8,1.21202,1.27331,1.41923,0.57141,0.41484,0.4757,0.31458,1.26529,1.24764,1.45583,0.0007525,0.0007525,0.0007525
7,2305.97,1.21593,1.23773,1.41134,0.4743,0.39863,0.41446,0.26662,1.29297,1.41952,1.46906,0.000703,0.000703,0.000703
8,2633.14,1.19482,1.20938,1.39818,0.52348,0.44371,0.47945,0.32562,1.21862,1.19656,1.41367,0.0006535,0.0006535,0.0006535
9,2960.32,1.17844,1.17502,1.38528,0.53428,0.46115,0.48719,0.32905,1.18828,1.17197,1.38376,0.000604,0.000604,0.000604
10,3287.84,1.17222,1.13091,1.37615,0.51702,0.44367,0.4751,0.3199,1.22756,1.1637,1.41016,0.0005545,0.0005545,0.0005545
11,3615.43,1.19403,1.14905,1.42291,0.56305,0.41039,0.47229,0.32311,1.21078,1.17152,1.41034,0.000505,0.000505,0.000505
12,3942.17,1.16458,1.10261,1.40588,0.52926,0.45426,0.48784,0.33394,1.18962,1.12087,1.38494,0.0004555,0.0004555,0.0004555
13,4268.74,1.13803,1.05067,1.38482,0.536,0.45401,0.48385,0.32883,1.17117,1.13561,1.36645,0.000406,0.000406,0.000406
14,4595.17,1.13442,1.02996,1.372,0.54326,0.44969,0.50898,0.35146,1.18161,1.09935,1.38385,0.0003565,0.0003565,0.0003565
15,4921.92,1.11476,0.9827,1.35555,0.5782,0.47984,0.53695,0.37334,1.14728,1.05126,1.34684,0.000307,0.000307,0.000307
16,5248.59,1.09103,0.93775,1.34432,0.57903,0.46396,0.526,0.3719,1.10971,1.05784,1.33956,0.0002575,0.0002575,0.0002575
17,5574.87,1.07991,0.91015,1.33614,0.60381,0.44097,0.52387,0.36789,1.13365,1.04502,1.34034,0.000208,0.000208,0.000208
18,5901.62,1.06248,0.88715,1.32357,0.58956,0.46313,0.53269,0.36796,1.15654,1.04374,1.34668,0.0001585,0.0001585,0.0001585
19,6228.37,1.05922,0.85361,1.31564,0.57899,0.48172,0.53171,0.36943,1.13202,1.02832,1.3327,0.000109,0.000109,0.000109
20,6555.03,1.03649,0.82055,1.29648,0.58619,0.48233,0.54464,0.37929,1.13103,1.00729,1.33199,5.95e-05,5.95e-05,5.95e-05
