epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.573,1.11882,1.01258,1.34299,0.60305,0.48614,0.51995,0.367,1.11093,1.06379,1.31868,0.000332652,0.000332652,0.000332652
2,665.746,1.0753,0.97746,1.30931,0.61191,0.48875,0.51735,0.36964,1.09455,1.08596,1.31763,0.000633019,0.000633019,0.000633019
3,993.331,1.11996,1.01696,1.32412,0.58536,0.48892,0.50816,0.35849,1.12394,1.09946,1.32598,0.000900386,0.000900386,0.000900386
4,1320.62,1.10873,0.99998,1.3185,0.5975,0.5073,0.53285,0.37129,1.13525,1.1128,1.33829,0.0008515,0.0008515,0.0008515
5,1647.86,1.08407,0.99053,1.30955,0.59838,0.50336,0.53301,0.37455,1.11452,1.04782,1.32001,0.000802,0.000802,0.000802
6,1974.94,1.06413,0.95878,1.30122,0.62459,0.52152,0.55351,0.38902,1.11935,1.03333,1.31007,0.0007525,0.0007525,0.0007525
7,2302.4,1.07021,0.94409,1.29402,0.59925,0.51001,0.54546,0.38407,1.11195,1.05277,1.31345,0.000703,0.000703,0.000703
8,2629.34,1.05445,0.93836,1.29183,0.59447,0.50964,0.55821,0.3897,1.1074,1.01676,1.3058,0.0006535,0.0006535,0.0006535
9,2956.47,1.04327,0.90444,1.27659,0.6077,0.5283,0.54434,0.38888,1.08876,1.00679,1.30216,0.000604,0.000604,0.000604
10,3283.61,1.03992,0.88393,1.27392,0.59983,0.53546,0.54545,0.38844,1.06795,0.9699,1.28094,0.0005545,0.0005545,0.0005545
11,3611.33,1.02569,0.82875,1.28071,0.61768,0.53996,0.5772,0.41238,1.06996,0.97411,1.2896,0.000505,0.000505,0.000505
12,3938.2,1.00819,0.80551,1.26995,0.6183,0.52923,0.5686,0.40341,1.0943,0.97864,1.2924,0.0004555,0.0004555,0.0004555
13,4264.68,0.97889,0.77148,1.2491,0.62662,0.54551,0.56212,0.39923,1.08486,0.95357,1.28905,0.000406,0.000406,0.000406
14,4591.26,0.98374,0.74832,1.24238,0.64381,0.54775,0.57274,0.40791,1.09189,0.98469,1.29754,0.0003565,0.0003565,0.0003565
15,4917.83,0.97369,0.72297,1.23931,0.6408,0.5509,0.58674,0.4169,1.07475,0.93874,1.28485,0.000307,0.000307,0.000307
16,5244.67,0.94907,0.69558,1.2233,0.62618,0.54096,0.5765,0.41327,1.05715,0.94964,1.27481,0.0002575,0.0002575,0.0002575
17,5571,0.94763,0.6759,1.21759,0.62297,0.53966,0.57404,0.409,1.07584,0.92975,1.28402,0.000208,0.000208,0.000208
18,5897.49,0.93021,0.66565,1.20931,0.61238,0.56079,0.58314,0.41608,1.06653,0.91669,1.28137,0.0001585,0.0001585,0.0001585
19,6224.05,0.93166,0.65472,1.2097,0.65779,0.54311,0.58075,0.41556,1.04978,0.91809,1.26973,0.000109,0.000109,0.000109
20,6550.3,0.91688,0.62896,1.19597,0.63872,0.55797,0.58877,0.42197,1.0503,0.91119,1.26926,5.95e-05,5.95e-05,5.95e-05
