epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.527,1.0895,0.95653,1.32316,0.56871,0.44155,0.49907,0.34567,1.15141,1.11253,1.36791,0.000332652,0.000332652,0.000332652
2,668.049,1.09851,1.00968,1.33064,0.50509,0.44687,0.44561,0.30018,1.19539,1.23665,1.39824,0.000633019,0.000633019,0.000633019
3,997.334,1.16546,1.09272,1.35991,0.5242,0.38927,0.42793,0.28563,1.22954,1.38776,1.41667,0.000900386,0.000900386,0.000900386
4,1326.25,1.1758,1.09735,1.36925,0.5058,0.41256,0.42706,0.28624,1.24453,1.40209,1.44337,0.0008515,0.0008515,0.0008515
5,1654.28,1.15463,1.09294,1.36234,0.55101,0.4442,0.47261,0.32291,1.19737,1.16087,1.39345,0.000802,0.000802,0.000802
6,1982.23,1.13748,1.08045,1.36034,0.54778,0.43403,0.48363,0.32553,1.24229,1.2033,1.42052,0.0007525,0.0007525,0.0007525
7,2310.02,1.13864,1.04489,1.34941,0.50697,0.43594,0.44827,0.29214,1.25315,1.30957,1.43542,0.000703,0.000703,0.000703
8,2637.92,1.12866,1.03709,1.34252,0.56291,0.44763,0.51315,0.35043,1.18858,1.13649,1.37694,0.0006535,0.0006535,0.0006535
9,2965.97,1.11116,1.00749,1.33042,0.54841,0.46318,0.49724,0.34246,1.17781,1.11698,1.37582,0.000604,0.000604,0.000604
10,3293.69,1.10702,0.97823,1.32481,0.55788,0.44668,0.49854,0.33894,1.20649,1.10395,1.39198,0.0005545,0.0005545,0.0005545
11,3622.36,1.1103,0.95007,1.3504,0.54281,0.46101,0.50599,0.34855,1.18202,1.11296,1.38699,0.000505,0.000505,0.000505
12,3949.79,1.08805,0.91853,1.33351,0.56554,0.43542,0.49474,0.34179,1.18853,1.15389,1.39816,0.0004555,0.0004555,0.0004555
13,4276.69,1.06379,0.88121,1.31906,0.55558,0.43767,0.4839,0.33793,1.16507,1.15039,1.37281,0.000406,0.000406,0.000406
14,4603.62,1.06082,0.85809,1.31052,0.55856,0.46474,0.51322,0.35724,1.16782,1.06894,1.37546,0.0003565,0.0003565,0.0003565
15,4930.9,1.04962,0.83205,1.29668,0.57397,0.48147,0.52891,0.37173,1.13439,1.02565,1.33868,0.000307,0.000307,0.000307
16,5257.62,1.02944,0.79178,1.28903,0.58917,0.46906,0.52704,0.3695,1.13062,1.03928,1.34833,0.0002575,0.0002575,0.0002575
17,5584.3,1.01694,0.77894,1.27959,0.58104,0.46359,0.52954,0.36905,1.14872,1.01777,1.35627,0.000208,0.000208,0.000208
18,5911.36,1.00358,0.7572,1.27013,0.60692,0.46742,0.5411,0.37496,1.15362,1.00358,1.34873,0.0001585,0.0001585,0.0001585
19,6238.63,1.00104,0.73397,1.26529,0.60181,0.47719,0.53516,0.37414,1.13194,1.00952,1.33789,0.000109,0.000109,0.000109
20,6565.48,0.98518,0.7131,1.25237,0.57963,0.49965,0.53935,0.37658,1.14332,0.99658,1.34709,5.95e-05,5.95e-05,5.95e-05
