epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,336.215,0.99428,0.76751,1.24777,0.57601,0.48208,0.52155,0.36243,1.14831,1.01096,1.35745,0.000332652,0.000332652,0.000332652
2,664.415,0.9831,0.77547,1.24076,0.53621,0.48115,0.48601,0.33615,1.18756,1.10219,1.39435,0.000633019,0.000633019,0.000633019
3,991.564,1.04153,0.82911,1.2669,0.56835,0.44983,0.48519,0.33244,1.21035,1.15901,1.41296,0.000900386,0.000900386,0.000900386
4,1318.49,1.05109,0.84053,1.27596,0.57059,0.45416,0.49307,0.33561,1.21862,1.16645,1.41865,0.0008515,0.0008515,0.0008515
5,1645.25,1.04258,0.84567,1.2745,0.54466,0.46686,0.50182,0.34291,1.19712,1.10252,1.39865,0.000802,0.000802,0.000802
6,1971.76,1.02654,0.83704,1.27253,0.55123,0.47552,0.50292,0.34609,1.21735,1.1276,1.41051,0.0007525,0.0007525,0.0007525
7,2298.51,1.03216,0.82935,1.26283,0.56678,0.45829,0.50398,0.34452,1.21181,1.08649,1.398,0.000703,0.000703,0.000703
8,2625.38,1.01693,0.81136,1.25909,0.56223,0.46473,0.51569,0.35453,1.20791,1.08909,1.40714,0.0006535,0.0006535,0.0006535
9,2952.11,1.00748,0.79641,1.25212,0.58704,0.49011,0.53756,0.3721,1.1911,1.05607,1.38807,0.000604,0.000604,0.000604
10,3279.21,1.00666,0.78795,1.24704,0.57329,0.47351,0.52021,0.35457,1.19985,1.08607,1.39879,0.0005545,0.0005545,0.0005545
11,3606.29,0.99173,0.71896,1.25083,0.56288,0.49551,0.52177,0.35755,1.18584,1.06091,1.38527,0.000505,0.000505,0.000505
12,3932.52,0.96811,0.70125,1.24006,0.57438,0.47584,0.50858,0.35253,1.18793,1.05926,1.39258,0.0004555,0.0004555,0.0004555
13,4258.55,0.94701,0.67057,1.22212,0.58955,0.47452,0.52896,0.3681,1.18437,1.05666,1.38875,0.000406,0.000406,0.000406
14,4584.45,0.94923,0.65822,1.21725,0.57407,0.48576,0.51916,0.35612,1.19738,1.04732,1.40816,0.0003565,0.0003565,0.0003565
15,4910.43,0.94218,0.64016,1.21151,0.59945,0.48909,0.53559,0.37189,1.16412,1.01302,1.37659,0.000307,0.000307,0.000307
16,5236.56,0.91857,0.61723,1.20024,0.58429,0.50896,0.53923,0.37756,1.14667,1.00635,1.36215,0.0002575,0.0002575,0.0002575
17,5562.53,0.91528,0.61283,1.19967,0.58579,0.48036,0.53218,0.36985,1.17256,1.01211,1.38228,0.000208,0.000208,0.000208
18,5888.22,0.90589,0.59994,1.19359,0.61328,0.48417,0.53791,0.37262,1.18076,1.00879,1.3865,0.0001585,0.0001585,0.0001585
19,6214.06,0.90922,0.59267,1.19421,0.58543,0.49467,0.52939,0.36931,1.17445,1.0102,1.384,0.000109,0.000109,0.000109
20,6539.99,0.90056,0.58716,1.18803,0.58794,0.50317,0.542,0.37735,1.17337,0.99719,1.38372,5.95e-05,5.95e-05,5.95e-05
