epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,5248.07,1.0295,0.83957,1.26816,0.57637,0.47712,0.52118,0.35955,1.17741,1.02553,1.36335,0.000703,0.000703,0.000703
17,5574.9,1.04001,0.84215,1.27106,0.5936,0.49832,0.52922,0.36261,1.19084,1.0306,1.39384,0.0006832,0.0006832,0.0006832
18,5901.44,1.02937,0.82634,1.26322,0.56669,0.48409,0.53108,0.36376,1.19617,1.03619,1.38003,0.0006634,0.0006634,0.0006634
19,6228.68,1.03275,0.81295,1.25849,0.61575,0.46073,0.52415,0.36127,1.197,1.01704,1.40055,0.0006436,0.0006436,0.0006436
20,6555.6,1.02955,0.80723,1.25384,0.57934,0.49194,0.53052,0.36926,1.15252,1.00739,1.36699,0.0006238,0.0006238,0.0006238
21,6882.54,1.01565,0.80119,1.25377,0.57984,0.47866,0.5173,0.359,1.17511,1.06138,1.37871,0.000604,0.000604,0.000604
22,7209.12,1.01544,0.78894,1.24747,0.6124,0.47662,0.53786,0.37359,1.17565,0.99049,1.37475,0.0005842,0.0005842,0.0005842
23,7535.98,1.01406,0.79191,1.24883,0.57908,0.48885,0.53991,0.37566,1.17008,0.99377,1.36194,0.0005644,0.0005644,0.0005644
24,7862.9,0.99527,0.76886,1.23539,0.59799,0.50079,0.53778,0.3765,1.14917,0.97377,1.35485,0.0005446,0.0005446,0.0005446
25,8189.92,0.99672,0.75923,1.23363,0.56338,0.53243,0.53883,0.37329,1.16701,0.99232,1.36437,0.0005248,0.0005248,0.0005248
26,8516.6,0.98324,0.75141,1.22813,0.60824,0.50378,0.54552,0.37484,1.1719,0.98762,1.3596,0.000505,0.000505,0.000505
27,8843.16,0.98768,0.74819,1.23267,0.59932,0.50688,0.54703,0.3796,1.17829,0.98448,1.35607,0.0004852,0.0004852,0.0004852
28,9169.79,0.9798,0.73982,1.22289,0.57876,0.53286,0.54585,0.37329,1.19253,0.99832,1.37953,0.0004654,0.0004654,0.0004654
29,9496.26,0.97868,0.73534,1.22604,0.60719,0.48876,0.53773,0.37605,1.15659,0.99875,1.35742,0.0004456,0.0004456,0.0004456
30,9822.47,0.96245,0.72166,1.22011,0.62213,0.48008,0.53818,0.37528,1.17089,0.99549,1.36563,0.0004258,0.0004258,0.0004258
31,10148.9,0.95289,0.70945,1.21271,0.64229,0.48389,0.54849,0.38276,1.16003,0.97811,1.36395,0.000406,0.000406,0.000406
32,10475.5,0.95588,0.71559,1.21595,0.63403,0.50727,0.55704,0.38883,1.16922,0.96978,1.3661,0.0003862,0.0003862,0.0003862
33,10802,0.95092,0.6982,1.20894,0.65311,0.47666,0.55391,0.38874,1.16356,0.96023,1.36577,0.0003664,0.0003664,0.0003664
34,11128.7,0.94121,0.68875,1.20241,0.63103,0.50606,0.54667,0.38284,1.1562,0.97402,1.37087,0.0003466,0.0003466,0.0003466
35,11455.6,0.9548,0.67993,1.20059,0.62091,0.5033,0.54262,0.37571,1.17781,0.98591,1.37461,0.0003268,0.0003268,0.0003268
36,11782.2,0.93566,0.68112,1.19795,0.58323,0.5271,0.5432,0.3792,1.16076,0.9776,1.36012,0.000307,0.000307,0.000307
37,12108.7,0.93572,0.67247,1.1907,0.60918,0.52093,0.55964,0.39018,1.17546,0.96064,1.37292,0.0002872,0.0002872,0.0002872
38,12435.1,0.91969,0.66081,1.19106,0.62986,0.50114,0.55631,0.38721,1.16026,0.96046,1.36903,0.0002674,0.0002674,0.0002674
39,12761.3,0.91806,0.65934,1.19166,0.6071,0.51903,0.55047,0.38725,1.14953,0.97009,1.36115,0.0002476,0.0002476,0.0002476
40,13087.8,0.92265,0.65383,1.18578,0.62229,0.5034,0.55927,0.39057,1.15188,0.96406,1.35749,0.0002278,0.0002278,0.0002278
41,13415.1,0.87392,0.5589,1.15773,0.61713,0.50771,0.55688,0.38775,1.17114,0.96881,1.37872,0.000208,0.000208,0.000208
42,13741.3,0.86141,0.55013,1.15881,0.59786,0.51918,0.55398,0.3875,1.15696,0.97742,1.37314,0.0001882,0.0001882,0.0001882
43,14067.4,0.85819,0.54057,1.15167,0.63301,0.49037,0.55052,0.38567,1.16315,0.97459,1.37544,0.0001684,0.0001684,0.0001684
44,14393.2,0.85202,0.53142,1.14713,0.62911,0.51057,0.56154,0.39288,1.16643,0.9581,1.38208,0.0001486,0.0001486,0.0001486
45,14719.5,0.83412,0.51473,1.13233,0.63472,0.50265,0.56131,0.39237,1.169,0.96363,1.38245,0.0001288,0.0001288,0.0001288
46,15045.2,0.82654,0.5134,1.13493,0.6197,0.50969,0.55916,0.39113,1.16354,0.96128,1.38064,0.000109,0.000109,0.000109
47,15371,0.82898,0.51034,1.13329,0.62914,0.50227,0.55309,0.38964,1.15274,0.96706,1.37171,8.92e-05,8.92e-05,8.92e-05
48,15697.1,0.82622,0.50022,1.12998,0.64822,0.49428,0.55464,0.38933,1.16217,0.97021,1.37859,6.94e-05,6.94e-05,6.94e-05
49,16023,0.8181,0.4941,1.12219,0.6433,0.49727,0.55584,0.39076,1.16451,0.97194,1.38051,4.96e-05,4.96e-05,4.96e-05
50,16348.8,0.81348,0.49167,1.12185,0.65332,0.49536,0.55647,0.38955,1.16572,0.97024,1.37969,2.98e-05,2.98e-05,2.98e-05
