epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.103,0.95845,0.70553,1.22263,0.57679,0.48351,0.52257,0.36387,1.16449,1.03196,1.38624,0.000332652,0.000332652,0.000332652
2,665.791,0.93844,0.69994,1.20806,0.56103,0.47002,0.4983,0.34473,1.19397,1.1074,1.40678,0.000652799,0.000652799,0.000652799
3,993.403,0.99897,0.75318,1.23336,0.57524,0.45168,0.49768,0.34091,1.19829,1.12359,1.40318,0.000959745,0.000959745,0.000959745
4,1320.58,1.01456,0.77832,1.24332,0.54343,0.45493,0.47473,0.32658,1.22333,1.23593,1.43969,0.0009406,0.0009406,0.0009406
5,1647.57,1.01163,0.79093,1.24695,0.58562,0.47525,0.51942,0.35878,1.20524,1.09436,1.39962,0.0009208,0.0009208,0.0009208
6,1974.45,1.00363,0.7967,1.2495,0.56003,0.48928,0.51045,0.35269,1.21189,1.09326,1.41441,0.000901,0.000901,0.000901
7,2301.9,1.01543,0.79557,1.24818,0.55373,0.45634,0.48137,0.32791,1.22711,1.13343,1.41755,0.0008812,0.0008812,0.0008812
8,2629.31,1.0052,0.79326,1.24937,0.57519,0.46344,0.51059,0.35145,1.20391,1.13255,1.4032,0.0008614,0.0008614,0.0008614
9,2956.72,1.00203,0.78825,1.24497,0.57302,0.47754,0.52432,0.36274,1.19604,1.06786,1.39426,0.0008416,0.0008416,0.0008416
10,3284.18,1.00278,0.78061,1.24336,0.56814,0.4748,0.51536,0.35249,1.20839,1.06354,1.40108,0.0008218,0.0008218,0.0008218
11,3611.66,1.06379,0.88048,1.28502,0.5491,0.47724,0.51202,0.34611,1.22652,1.06367,1.40422,0.000802,0.000802,0.000802
12,3939.28,1.07276,0.88989,1.2929,0.56552,0.46125,0.50513,0.35283,1.18708,1.05166,1.38623,0.0007822,0.0007822,0.0007822
13,4266.42,1.05395,0.87479,1.27927,0.5633,0.49382,0.51682,0.35429,1.18791,1.05745,1.38303,0.0007624,0.0007624,0.0007624
14,4593.57,1.04203,0.86912,1.2819,0.55141,0.51065,0.50953,0.35046,1.19426,1.09241,1.39614,0.0007426,0.0007426,0.0007426
15,4920.78,1.04793,0.85742,1.27871,0.59049,0.43726,0.50613,0.34975,1.18479,1.07856,1.38348,0.0007228,0.0007228,0.0007228
